cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
thetao;pot_temp;K_degC(var[0]);K;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;708;ocean_month.nc-;Potential temperature;sea_water_potential_temperature
hfds;sfc_hflux_from_runoff sfc_hflux_coupler sfc_hflux_from_water_evap sfc_hflux_from_water_prec frazil_2d;var_sum(var);W m-2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;708;ocean_month.nc-;downward heat flux at water surface;surface_downward_heat_flux_in_sea_water
hfsifrazil2d;frazil_2d;;W/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;ocn frazil heat flux over time step;heat_flux_into_sea_water_due_to_freezing_of_frazil_ice
# Variables definitions coming from different model version: Use with caution!;;;;;;;;;;;;;;;;
# Variables with different frequency: Use with caution!;;;;;;;;;;;;;;;;
# Variables matched using standard_name: Use with caution!;;;;;;;;;;;;;;;;
pbo;pbot_t;;dbar;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;bottom pressure on T cells [Boussinesq (volume conserving) model];sea_water_pressure_at_sea_floor
['thetaot-CMIP6_Emon', 'thetaot2000-CMIP6_Emon', 'thetaot300-CMIP6_Emon', 'thetaot700-CMIP6_Emon', 'thetao-CMIP6_Odec', 'thetaoga-CMIP6_Odec', 'thetao-CMIP6_Omon', 'thetaoga-CMIP6_Omon'];pot_temp;;degrees K;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;Potential temperature;sea_water_potential_temperature
['tos-CMIP6_3hr', 'tos-CMIP6_Oday', 'tos-CMIP6_Odec', 'tosga-CMIP6_Odec', 'tos-CMIP6_Omon', 'tosga-CMIP6_Omon'];sst;;degrees K;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;Potential temperature;sea_surface_temperature
['tossq-CMIP6_Oday', 'tossq-CMIP6_Omon'];sst_sq;;squared degrees K;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;squared Potential temperature;square_of_sea_surface_temperature
msftbarot;psiu;;kg/s;time yt_ocean xu_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;quasi-barotropic strmfcn psiu (compatible with tx_trans);ocean_barotropic_mass_streamfunction
['fsitherm-CMIP6_Omon', 'siflfwbot-CMIP6_SImon'];melt;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;water flux transferred with sea ice form/melt (>0 enters ocean);water_flux_into_sea_water_due_to_sea_ice_thermodynamics
# Derived variables: Use with caution!;;;;;;;;;;;;;;;;
msftyrho;ty_trans_rho ty_trans_rho_gm;calc_overt(var);kg s-1;time st_ocean yu_ocean xt_ocean;mon;ocean;time: mean grid_longitude: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;;
msftmrho;ty_trans_rho ty_trans_rho_gm;calc_overt(var);kg s-1;time potrho grid_yu_ocean grid_xt_ocean;mon;ocean;longitude: sum depth: sum time: mean;;CMIP6_Omon;CM2;float32;34560000;36;ocean_month.nc-;;
